id,transaction_date,user_id,store_id,product_id,quantity,price,total,points,reference_number,transaction_type,Vendor_ID,reward_id
83,2025-11-22T02:33:30.72,6,2,24,1,36,36,3.6,NUTE-20251122-6620,Purchase,9,1
84,2025-11-22T02:36:23.74,6,2,22,1,0,0,-20,NUTE-20251122-8683,Redemption,12,
85,2025-11-22T02:36:26.309,6,2,22,1,0,0,-20,NUTE-20251122-3259,Redemption,12,
86,2025-11-22T02:36:27.151,6,2,22,1,0,0,-20,NUTE-20251122-6097,Redemption,12,
87,2025-11-22T02:37:48.392,6,2,58,1,0,0,-10,NUTE-20251122-9004,Redemption,12,
88,2025-11-27T14:26:15.626,6,3,39,1,0,0,-20,BREW-20251127-5571,Redemption,3,
89,2025-11-27T14:43:09.82,6,1,10,1,0,0,-25,SUPR-20251127-9318,Redemption,2,
90,2025-11-27T14:49:20.495,6,4,46,1,0,0,-25,DIMS-20251127-1501,Redemption,5,
91,2025-11-27T14:51:39.069,6,1,10,1,0,0,-25,SUPR-20251127-3443,Redemption,2,
92,2025-11-27T15:19:43.334228,6,1,1,1,95,95,9.5,SUPR-20251127-1062,Purchase,7,
93,2025-11-27T15:19:43.334228,6,1,6,1,60,60,6,SUPR-20251127-1062,Purchase,7,
94,2025-11-27T15:19:45.939571,6,1,4,1,110,110,11,SUPR-20251127-5201,Purchase,9,
95,2025-11-27T15:19:45.939571,6,1,12,1,60,60,6,SUPR-20251127-5201,Purchase,9,
96,2025-11-27T15:19:45.939571,6,1,9,1,45,45,4.5,SUPR-20251127-5201,Purchase,9,
97,2025-11-27T15:19:46.582412,6,1,5,1,110,110,11,SUPR-20251127-4749,Purchase,7,
98,2025-11-27T15:19:46.582412,6,1,8,1,35,35,3.5,SUPR-20251127-4749,Purchase,7,
99,2025-11-27T15:19:47.80174,6,1,2,1,95,95,9.5,SUPR-20251127-1220,Purchase,9,
100,2025-11-27T15:19:47.80174,6,1,7,1,60,60,6,SUPR-20251127-1220,Purchase,9,
101,2025-11-27T15:19:47.80174,6,1,10,1,15,15,1.5,SUPR-20251127-1220,Purchase,9,
102,2025-11-27T15:19:50.212514,6,1,3,1,95,95,9.5,SUPR-20251127-2458,Purchase,7,
103,2025-11-27T15:19:50.212514,6,1,11,1,30,30,3,SUPR-20251127-2458,Purchase,7,
104,2025-11-27T15:19:50.890878,6,2,15,1,60,60,6,NUTE-20251127-3191,Purchase,9,
105,2025-11-27T15:19:50.890878,6,2,17,1,50,50,5,NUTE-20251127-3191,Purchase,9,
106,2025-11-27T15:19:52.282476,6,2,20,1,60,60,6,NUTE-20251127-2189,Purchase,7,
107,2025-11-27T15:19:52.282476,6,2,24,1,40,40,4,NUTE-20251127-2189,Purchase,7,
108,2025-11-27T15:19:53.494519,6,2,26,1,45,45,4.5,NUTE-20251127-1195,Purchase,9,
109,2025-11-27T15:19:53.494519,6,2,27,1,40,40,4,NUTE-20251127-1195,Purchase,9,
110,2025-11-27T15:19:54.711222,6,2,21,1,70,70,7,NUTE-20251127-7685,Purchase,7,
111,2025-11-27T15:19:54.711222,6,2,22,1,10,10,1,NUTE-20251127-7685,Purchase,7,
112,2025-11-27T15:19:54.711222,6,2,25,1,50,50,5,NUTE-20251127-7685,Purchase,7,
113,2025-11-27T15:19:56.412735,6,2,18,1,70,70,7,NUTE-20251127-3484,Purchase,9,
114,2025-11-27T15:19:56.412735,6,2,19,1,40,40,4,NUTE-20251127-3484,Purchase,9,
115,2025-11-27T15:19:58.186435,6,3,30,1,95,95,9.5,BREW-20251127-8606,Purchase,7,
116,2025-11-27T15:19:58.186435,6,3,34,1,40,40,4,BREW-20251127-8606,Purchase,7,
117,2025-11-27T15:19:59.216191,6,3,32,1,95,95,9.5,BREW-20251127-3332,Purchase,9,
118,2025-11-27T15:19:59.216191,6,3,35,1,55,55,5.5,BREW-20251127-3332,Purchase,9,
119,2025-11-27T15:20:00.153706,6,3,28,1,75,75,7.5,BREW-20251127-6762,Purchase,7,
120,2025-11-27T15:20:00.153706,6,3,33,1,30,30,3,BREW-20251127-6762,Purchase,7,
121,2025-11-27T15:20:00.153706,6,3,36,1,15,15,1.5,BREW-20251127-6762,Purchase,7,
122,2025-11-27T15:20:02.164415,6,3,31,1,95,95,9.5,BREW-20251127-3985,Purchase,9,
123,2025-11-27T15:20:02.164415,6,3,37,1,50,50,5,BREW-20251127-3985,Purchase,9,
124,2025-11-27T15:20:03.921125,6,3,29,1,85,85,8.5,BREW-20251127-5333,Purchase,7,
125,2025-11-27T15:20:03.921125,6,3,34,1,40,40,4,BREW-20251127-5333,Purchase,7,
126,2025-11-27T15:20:03.921125,6,3,39,1,10,10,1,BREW-20251127-5333,Purchase,7,
127,2025-11-27T15:20:07.737639,6,4,45,1,60,60,6,DIMS-20251127-6320,Purchase,9,
128,2025-11-27T15:20:07.737639,6,4,40,1,35,35,3.5,DIMS-20251127-6320,Purchase,9,
129,2025-11-27T15:20:13.544697,6,4,43,1,35,35,3.5,DIMS-20251127-8470,Purchase,7,
130,2025-11-27T15:20:13.544697,6,4,46,1,15,15,1.5,DIMS-20251127-8470,Purchase,7,
131,2025-11-27T15:20:15.602932,6,4,44,1,35,35,3.5,DIMS-20251127-8851,Purchase,9,
132,2025-11-27T15:20:15.602932,6,4,41,1,35,35,3.5,DIMS-20251127-8851,Purchase,9,
133,2025-11-27T15:20:15.602932,6,4,46,1,15,15,1.5,DIMS-20251127-8851,Purchase,9,
139,2025-11-27T15:20:23.895243,6,1,1,1,95,95,9.5,SUPR-20251127-8391,Purchase,7,
140,2025-11-27T15:20:23.895243,6,1,2,1,95,95,9.5,SUPR-20251127-8391,Purchase,7,
141,2025-11-27T15:20:23.895243,6,1,8,1,35,35,3.5,SUPR-20251127-8391,Purchase,7,
149,2025-11-27T15:20:26.467291,6,1,4,1,110,110,11,SUPR-20251127-3685,Purchase,9,
150,2025-11-27T15:20:26.467291,6,1,5,1,110,110,11,SUPR-20251127-3685,Purchase,9,
151,2025-11-27T15:20:26.467291,6,1,7,1,60,60,6,SUPR-20251127-3685,Purchase,9,
152,2025-11-27T15:20:26.467291,6,1,12,1,60,60,6,SUPR-20251127-3685,Purchase,9,
159,2025-11-27T15:20:30.994713,6,3,32,1,95,95,9.5,BREW-20251127-1229,Purchase,7,
160,2025-11-27T15:20:30.994713,6,3,31,1,95,95,9.5,BREW-20251127-1229,Purchase,7,
161,2025-11-27T15:20:30.994713,6,3,35,1,55,55,5.5,BREW-20251127-1229,Purchase,7,
168,2025-11-27T15:20:36.465601,6,2,18,1,70,70,7,NUTE-20251127-7323,Purchase,9,
169,2025-11-27T15:20:36.465601,6,2,26,1,45,45,4.5,NUTE-20251127-7323,Purchase,9,
170,2025-11-27T15:20:36.465601,6,2,27,1,40,40,4,NUTE-20251127-7323,Purchase,9,
134,2025-11-27T15:20:18.186576,6,4,45,1,60,60,6,DIMS-20251127-3167,Purchase,7,
135,2025-11-27T15:20:18.186576,6,4,42,1,35,35,3.5,DIMS-20251127-3167,Purchase,7,
142,2025-11-27T15:20:25.161264,6,2,15,2,60,120,12,NUTE-20251127-6537,Purchase,9,
143,2025-11-27T15:20:25.161264,6,2,16,1,35,35,3.5,NUTE-20251127-6537,Purchase,9,
144,2025-11-27T15:20:25.161264,6,2,23,1,30,30,3,NUTE-20251127-6537,Purchase,9,
153,2025-11-27T15:20:28.144327,6,4,45,2,60,120,12,DIMS-20251127-8695,Purchase,7,
154,2025-11-27T15:20:28.144327,6,4,40,1,35,35,3.5,DIMS-20251127-8695,Purchase,7,
155,2025-11-27T15:20:28.144327,6,4,46,1,15,15,1.5,DIMS-20251127-8695,Purchase,7,
162,2025-11-27T15:20:31.616959,6,1,3,1,95,95,9.5,SUPR-20251127-5215,Purchase,9,
163,2025-11-27T15:20:31.616959,6,1,6,1,60,60,6,SUPR-20251127-5215,Purchase,9,
164,2025-11-27T15:20:31.616959,6,1,10,1,15,15,1.5,SUPR-20251127-5215,Purchase,9,
136,2025-11-27T15:20:22.179807,6,4,40,1,35,35,3.5,DIMS-20251127-3354,Purchase,9,
137,2025-11-27T15:20:22.179807,6,4,43,1,35,35,3.5,DIMS-20251127-3354,Purchase,9,
138,2025-11-27T15:20:22.179807,6,4,46,2,15,30,3,DIMS-20251127-3354,Purchase,9,
145,2025-11-27T15:20:25.841683,6,3,30,1,95,95,9.5,BREW-20251127-2908,Purchase,7,
146,2025-11-27T15:20:25.841683,6,3,28,1,75,75,7.5,BREW-20251127-2908,Purchase,7,
147,2025-11-27T15:20:25.841683,6,3,38,1,15,15,1.5,BREW-20251127-2908,Purchase,7,
148,2025-11-27T15:20:25.841683,6,3,39,1,10,10,1,BREW-20251127-2908,Purchase,7,
156,2025-11-27T15:20:29.503271,6,2,20,1,60,60,6,NUTE-20251127-5207,Purchase,9,
157,2025-11-27T15:20:29.503271,6,2,21,1,70,70,7,NUTE-20251127-5207,Purchase,9,
158,2025-11-27T15:20:29.503271,6,2,25,1,50,50,5,NUTE-20251127-5207,Purchase,9,
165,2025-11-27T15:20:33.019695,6,4,44,1,35,35,3.5,DIMS-20251127-6713,Purchase,7,
166,2025-11-27T15:20:33.019695,6,4,42,1,35,35,3.5,DIMS-20251127-6713,Purchase,7,
167,2025-11-27T15:20:33.019695,6,4,41,1,35,35,3.5,DIMS-20251127-6713,Purchase,7,
